"arrest","block","description","district","domestic","latitude","location","location_description","longitude","primary_type"
"false","034XX W JACKSON BLVD","TO PROPERTY",11,"true",41.87725848,"POINT (-87.712227112 41.87725848)","APARTMENT",-87.712227112,"CRIMINAL DAMAGE"
"false","054XX W FERDINAND ST","AUTOMOBILE",15,"false",41.888893039,"POINT (-87.761147298 41.888893039)","STREET",-87.761147298,"MOTOR VEHICLE THEFT"
"false","051XX S INDIANA AVE","TO VEHICLE",2,"false",41.801313866,"POINT (-87.621010957 41.801313866)","STREET",-87.621010957,"CRIMINAL DAMAGE"
"false","060XX W HIGGINS AVE","ATTEMPT: ARMED-OTHER FIREARM",16,"false",41.973376037,"POINT (-87.778889343 41.973376037)","STREET",-87.778889343,"ROBBERY"
"false","079XX S GREENWOOD AVE","SIMPLE",6,"false",41.750785857,"POINT (-87.597906858 41.750785857)","SIDEWALK",-87.597906858,"BATTERY"
"false","026XX N SPAULDING AVE","DOMESTIC BATTERY SIMPLE",14,"true",41.929202346,"POINT (-87.710881925 41.929202346)","APARTMENT",-87.710881925,"BATTERY"
"false","012XX S WABASH AVE","SIMPLE",1,"false",41.866810739,"POINT (-87.625817031 41.866810739)","DEPARTMENT STORE",-87.625817031,"BATTERY"
"true","050XX W DRUMMOND PL","POSS: CANNABIS MORE THAN 30GMS",25,"false",41.928732589,"POINT (-87.752691967 41.928732589)","APARTMENT",-87.752691967,"NARCOTICS"
"false","048XX S WOLCOTT AVE","AGGRAVATED: HANDGUN",9,"false",41.80601617,"POINT (-87.672191465 41.80601617)","VEHICLE NON-COMMERCIAL",-87.672191465,"BATTERY"
"false","084XX S MACKINAW AVE","SIMPLE",4,"false",41.742473855,"POINT (-87.54300897 41.742473855)","RESIDENCE",-87.54300897,"BATTERY"
"false","057XX W ROOSEVELT RD","NON-AGGRAVATED",15,"false",41.865541907,"POINT (-87.768294247 41.865541907)","HOSPITAL BUILDING/GROUNDS",-87.768294247,"CRIM SEXUAL ASSAULT"
"false","018XX W WILSON AVE","FORCIBLE ENTRY",19,"false",41.96515311,"POINT (-87.675236838 41.96515311)","RESTAURANT",-87.675236838,"BURGLARY"
"false","066XX S ARTESIAN AVE","AGGRAVATED: HANDGUN",8,"false",41.77287877,"POINT (-87.684688226 41.77287877)","APARTMENT",-87.684688226,"ASSAULT"
"true","011XX S CENTRAL PARK AVE","SIMPLE",11,"true",41.866916243,"POINT (-87.715436854 41.866916243)","APARTMENT",-87.715436854,"ASSAULT"
"false","005XX E 92ND ST","DOMESTIC BATTERY SIMPLE",6,"true",41.7274268,"POINT (-87.610962176 41.7274268)","RESIDENCE",-87.610962176,"BATTERY"
"false","008XX W JUNIOR TER","CRIMINAL DEFACEMENT",19,"false",0,"","RESIDENCE",0,"CRIMINAL DAMAGE"
"false","017XX N FRANCISCO AVE","OVER $500",14,"false",41.91292808,"POINT (-87.699165786 41.91292808)","APARTMENT",-87.699165786,"THEFT"
"false","027XX N GREENVIEW AVE","UNLAWFUL ENTRY",19,"false",41.931290747,"POINT (-87.665941764 41.931290747)","RESIDENCE",-87.665941764,"BURGLARY"
"false","081XX S INGLESIDE AVE","$500 AND UNDER",6,"false",41.747004712,"POINT (-87.601423949 41.747004712)","STREET",-87.601423949,"THEFT"
"false","017XX W ERIE ST","TO VEHICLE",12,"false",41.893286024,"POINT (-87.670700899 41.893286024)","STREET",-87.670700899,"CRIMINAL DAMAGE"
"false","075XX N EASTLAKE TER","$500 AND UNDER",24,"false",42.018503037,"POINT (-87.664331401 42.018503037)","STREET",-87.664331401,"THEFT"
"false","026XX S HALSTED ST","FROM BUILDING",9,"false",41.845083454,"POINT (-87.646443787 41.845083454)","APARTMENT",-87.646443787,"THEFT"
"false","052XX N LATROBE AVE","HARASSMENT BY ELECTRONIC MEANS",16,"true",41.975874448,"POINT (-87.759034401 41.975874448)","RESIDENCE",-87.759034401,"OTHER OFFENSE"
"false","072XX S LUELLA AVE","TO VEHICLE",3,"false",41.763906216,"POINT (-87.570115894 41.763906216)","STREET",-87.570115894,"CRIMINAL DAMAGE"
"true","080XX S YALE AVE","DOMESTIC BATTERY SIMPLE",6,"true",41.748531608,"POINT (-87.630605959 41.748531608)","STREET",-87.630605959,"BATTERY"
"false","003XX N SANGAMON ST","OVER $500",12,"false",41.887084037,"POINT (-87.651018015 41.887084037)","STREET",-87.651018015,"THEFT"
"false","022XX S MICHIGAN AVE","SIMPLE",1,"false",0,"","STREET",0,"BATTERY"
"false","057XX S CALUMET AVE","SIMPLE",2,"false",41.790561874,"POINT (-87.617496039 41.790561874)","OTHER",-87.617496039,"ASSAULT"
"false","070XX N OZARK AVE","$500 AND UNDER",16,"false",42.008201975,"POINT (-87.820043496 42.008201975)","RESIDENTIAL YARD (FRONT/BACK)",-87.820043496,"THEFT"
"false","073XX S EVANS AVE","TO CITY OF CHICAGO PROPERTY",3,"false",41.761286569,"POINT (-87.606693651 41.761286569)","SCHOOL, PUBLIC, GROUNDS",-87.606693651,"CRIMINAL DAMAGE"
"false","132XX S CORLISS AVE","$500 AND UNDER",5,"false",41.655212736,"POINT (-87.602321408 41.655212736)","STREET",-87.602321408,"THEFT"
"false","035XX E 133RD ST","AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM",4,"true",41.653664334,"POINT (-87.53776519 41.653664334)","RESIDENCE",-87.53776519,"BATTERY"
"true","009XX W FULLERTON AVE","TO STATE SUP LAND",18,"false",41.925398601,"POINT (-87.652337017 41.925398601)","CTA PLATFORM",-87.652337017,"CRIMINAL TRESPASS"
"true","043XX W 50TH ST","POSS: BARBITUATES",8,"false",41.802281658,"POINT (-87.731689739 41.802281658)","ALLEY",-87.731689739,"NARCOTICS"
"false","027XX N MULLIGAN AVE","DOMESTIC BATTERY SIMPLE",25,"true",41.930000157,"POINT (-87.784439467 41.930000157)","RESIDENCE",-87.784439467,"BATTERY"
"false","078XX S OGLESBY AVE","SEX OFFENDER: FAIL TO REGISTER",4,"false",41.752911413,"POINT (-87.567468224 41.752911413)","RESIDENCE PORCH/HALLWAY",-87.567468224,"OTHER OFFENSE"
"false","007XX N MICHIGAN AVE","RETAIL THEFT",18,"false",41.895978014,"POINT (-87.624275756 41.895978014)","SMALL RETAIL STORE",-87.624275756,"THEFT"
"true","128XX S COTTAGE GROVE AVE","AGGRAVATED: OTHER DANG WEAPON",5,"false",41.660764372,"POINT (-87.5954225 41.660764372)","STREET",-87.5954225,"ASSAULT"
"false","011XX E 46TH ST","FROM BUILDING",2,"false",41.811442236,"POINT (-87.598669697 41.811442236)","RESIDENCE PORCH/HALLWAY",-87.598669697,"THEFT"
"false","027XX W 15TH ST","PRO EMP HANDS NO/MIN INJURY",10,"false",41.861081457,"POINT (-87.693790049 41.861081457)","HOSPITAL BUILDING/GROUNDS",-87.693790049,"BATTERY"
"false","051XX W NORTH AVE","CRIMINAL DEFACEMENT",25,"false",41.909537531,"POINT (-87.752858605 41.909537531)","RESTAURANT",-87.752858605,"CRIMINAL DAMAGE"
"false","0000X W TERMINAL ST","$500 AND UNDER",16,"false",41.976762981,"POINT (-87.900983721 41.976762981)","AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA",-87.900983721,"THEFT"
"false","069XX W BELMONT AVE","HARASSMENT BY ELECTRONIC MEANS",16,"false",41.938094633,"POINT (-87.799950187 41.938094633)","RESIDENCE",-87.799950187,"OTHER OFFENSE"
"false","009XX W 51ST ST","DOMESTIC BATTERY SIMPLE",9,"true",41.801533125,"POINT (-87.648951958 41.801533125)","APARTMENT",-87.648951958,"BATTERY"
"false","070XX S PARNELL AVE","SIMPLE",7,"true",41.766120442,"POINT (-87.638375691 41.766120442)","RESIDENCE",-87.638375691,"ASSAULT"
"true","044XX N BROADWAY","RETAIL THEFT",19,"false",41.963070794,"POINT (-87.655984213 41.963070794)","GROCERY FOOD STORE",-87.655984213,"THEFT"
"true","027XX W CERMAK RD","POSS: CANNABIS MORE THAN 30GMS",10,"false",41.851914699,"POINT (-87.694608126 41.851914699)","VEHICLE NON-COMMERCIAL",-87.694608126,"NARCOTICS"
"false","022XX W NORTH AVE","OVER $500",14,"false",41.910384321,"POINT (-87.683000406 41.910384321)","STREET",-87.683000406,"THEFT"
"false","022XX W 79TH ST","PRO EMP HANDS NO/MIN INJURY",8,"false",41.750139439,"POINT (-87.679837957 41.750139439)","CTA BUS",-87.679837957,"BATTERY"
"false","007XX E 107TH ST","AGGRAVATED:KNIFE/CUTTING INSTR",5,"true",41.699415308,"POINT (-87.604841993 41.699415308)","RESIDENCE",-87.604841993,"ASSAULT"
"true","039XX W ARMITAGE AVE","RETAIL THEFT",25,"false",41.917175212,"POINT (-87.725894098 41.917175212)","CONVENIENCE STORE",-87.725894098,"THEFT"
"false","078XX S CLYDE AVE","STRONGARM - NO WEAPON",4,"false",41.752814694,"POINT (-87.573567629 41.752814694)","ALLEY",-87.573567629,"ROBBERY"
"false","125XX S EMERALD AVE","HARASSMENT BY ELECTRONIC MEANS",5,"false",41.666211448,"POINT (-87.640318579 41.666211448)","RESIDENCE",-87.640318579,"OTHER OFFENSE"
"true","009XX W SUNNYSIDE AVE","TO VEHICLE",19,"false",41.963629672,"POINT (-87.653040464 41.963629672)","STREET",-87.653040464,"CRIMINAL DAMAGE"
"false","022XX W CULLERTON ST","DOMESTIC BATTERY SIMPLE",12,"true",41.854844775,"POINT (-87.681764745 41.854844775)","RESIDENCE",-87.681764745,"BATTERY"
"false","101XX S PAXTON AVE","HARASSMENT BY ELECTRONIC MEANS",4,"true",41.711229962,"POINT (-87.569395217 41.711229962)","RESIDENCE",-87.569395217,"OTHER OFFENSE"
"false","070XX S COTTAGE GROVE AVE","TO CITY OF CHICAGO PROPERTY",3,"false",41.76680404,"POINT (-87.605619683 41.76680404)","GOVERNMENT BUILDING/PROPERTY",-87.605619683,"CRIMINAL DAMAGE"
"false","034XX N HALSTED ST","RETAIL THEFT",19,"false",41.943948446,"POINT (-87.649386514 41.943948446)","SMALL RETAIL STORE",-87.649386514,"THEFT"
"true","012XX N WOLCOTT AVE","DOMESTIC BATTERY SIMPLE",14,"true",41.903795598,"POINT (-87.674846094 41.903795598)","APARTMENT",-87.674846094,"BATTERY"
"false","031XX W MONROE ST","SEX OFFENDER: FAIL TO REGISTER",11,"false",41.87967278,"POINT (-87.704044395 41.87967278)","ALLEY",-87.704044395,"OTHER OFFENSE"
"false","056XX S WABASH AVE","$500 AND UNDER",2,"true",41.792287348,"POINT (-87.62402256 41.792287348)","SIDEWALK",-87.62402256,"THEFT"
"false","097XX S WOODLAWN AVE","$500 AND UNDER",5,"false",41.717888153,"POINT (-87.594652182 41.717888153)","STREET",-87.594652182,"THEFT"
"false","060XX W IRVING PARK RD","$500 AND UNDER",16,"false",41.953025412,"POINT (-87.778415049 41.953025412)","STREET",-87.778415049,"THEFT"
"false","012XX W 119TH ST","$500 AND UNDER",5,"false",41.677661758,"POINT (-87.652872258 41.677661758)","ATHLETIC CLUB",-87.652872258,"THEFT"
"false","048XX W BELMONT AVE","TO VEHICLE",16,"false",41.938816534,"POINT (-87.747616569 41.938816534)","STREET",-87.747616569,"CRIMINAL DAMAGE"
"false","003XX S LOOMIS ST","$500 AND UNDER",12,"true",41.877274235,"POINT (-87.661873779 41.877274235)","APARTMENT",-87.661873779,"THEFT"
"false","007XX N CENTRAL AVE","FORCIBLE ENTRY",15,"false",41.893763001,"POINT (-87.765353356 41.893763001)","OTHER",-87.765353356,"BURGLARY"
"false","006XX E 32ND ST","$500 AND UNDER",2,"false",41.836085835,"POINT (-87.611668085 41.836085835)","STREET",-87.611668085,"THEFT"
"false","004XX E 95TH ST","TO VEHICLE",6,"false",41.721898302,"POINT (-87.613793377 41.721898302)","STREET",-87.613793377,"CRIMINAL DAMAGE"
"false","036XX W SHAKESPEARE AVE","VIOLATE ORDER OF PROTECTION",25,"true",41.920014584,"POINT (-87.717992968 41.920014584)","APARTMENT",-87.717992968,"OTHER OFFENSE"
"false","007XX W DIVERSEY PKWY","AGGRAVATED: HANDGUN",19,"true",41.932755165,"POINT (-87.647150367 41.932755165)","APARTMENT",-87.647150367,"ASSAULT"
"false","039XX W DIVERSEY AVE","UNLAWFUL USE HANDGUN",25,"false",41.931810146,"POINT (-87.72536938 41.931810146)","STREET",-87.72536938,"WEAPONS VIOLATION"
"true","005XX E 61ST ST","FALSE/STOLEN/ALTERED TRP",3,"false",41.783955189,"POINT (-87.611603984 41.783955189)","STREET",-87.611603984,"OTHER OFFENSE"
"true","039XX W DIVERSEY AVE","SIMPLE",25,"false",41.931802942,"POINT (-87.72608241 41.931802942)","PARKING LOT/GARAGE(NON.RESID.)",-87.72608241,"ASSAULT"
"true","065XX S CLAREMONT AVE","AGG PO HANDS NO/MIN INJURY",8,"false",41.774774528,"POINT (-87.682165195 41.774774528)","STREET",-87.682165195,"ASSAULT"
"false","018XX W LAWRENCE AVE","RETAIL THEFT",20,"false",41.968815819,"POINT (-87.674618145 41.968815819)","GROCERY FOOD STORE",-87.674618145,"THEFT"
"false","037XX W AGATITE AVE","DOMESTIC BATTERY SIMPLE",17,"true",41.961941057,"POINT (-87.721126803 41.961941057)","APARTMENT",-87.721126803,"BATTERY"
"false","040XX N MOODY AVE","DOMESTIC BATTERY SIMPLE",16,"true",41.953853122,"POINT (-87.780473967 41.953853122)","RESIDENCE",-87.780473967,"BATTERY"
"false","048XX W MADISON ST","RETAIL THEFT",15,"false",41.880487595,"POINT (-87.745964635 41.880487595)","GAS STATION",-87.745964635,"THEFT"
"false","079XX S GREENWOOD AVE","TO PROPERTY",6,"false",41.750785857,"POINT (-87.597906858 41.750785857)","RESIDENCE",-87.597906858,"CRIMINAL DAMAGE"
"false","005XX N LECLAIRE AVE","AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY",15,"false",41.89007048,"POINT (-87.752976121 41.89007048)","VEHICLE NON-COMMERCIAL",-87.752976121,"BATTERY"
"true","040XX W JACKSON BLVD","POSS: HEROIN(WHITE)",11,"false",41.877074653,"POINT (-87.726608136 41.877074653)","VACANT LOT/LAND",-87.726608136,"NARCOTICS"
"false","021XX W NORTH AVE","OVER $500",14,"false",41.910417204,"POINT (-87.681056616 41.910417204)","STREET",-87.681056616,"THEFT"
"false","009XX W SUNNYSIDE AVE","TO VEHICLE",19,"false",41.963629672,"POINT (-87.653040464 41.963629672)","STREET",-87.653040464,"CRIMINAL DAMAGE"
"false","067XX S INDIANA AVE","AGGRAVATED: HANDGUN",3,"false",41.772409335,"POINT (-87.620293392 41.772409335)","APARTMENT",-87.620293392,"ASSAULT"
"true","056XX S EMERALD AVE","POSS: CRACK",7,"false",41.79198564,"POINT (-87.643882981 41.79198564)","RESIDENCE",-87.643882981,"NARCOTICS"
"true","001XX S MICHIGAN AVE","TO LAND",1,"false",41.880366516,"POINT (-87.6243529 41.880366516)","SMALL RETAIL STORE",-87.6243529,"CRIMINAL TRESPASS"
"false","021XX W 63RD ST","TO PROPERTY",7,"false",41.779273063,"POINT (-87.676972155 41.779273063)","APARTMENT",-87.676972155,"CRIMINAL DAMAGE"
"false","006XX N ALBANY AVE","DOMESTIC BATTERY SIMPLE",12,"true",41.892715956,"POINT (-87.704004529 41.892715956)","SIDEWALK",-87.704004529,"BATTERY"
"true","012XX S PULASKI RD","POSS: CANNABIS 30GMS OR LESS",10,"false",41.865321508,"POINT (-87.725144306 41.865321508)","STREET",-87.725144306,"NARCOTICS"
"false","009XX N HERMITAGE AVE","STRONGARM - NO WEAPON",12,"false",41.898888968,"POINT (-87.671039679 41.898888968)","STREET",-87.671039679,"ROBBERY"
"true","010XX W BRYN MAWR AVE","TO PROPERTY",20,"false",41.983677376,"POINT (-87.65697959 41.983677376)","RESTAURANT",-87.65697959,"CRIMINAL DAMAGE"
"true","011XX N HARDING AVE","POSS: CRACK",11,"false",41.90163014,"POINT (-87.725049658 41.90163014)","ALLEY",-87.725049658,"NARCOTICS"
"true","015XX W 76TH ST","RESIST/OBSTRUCT/DISARM OFFICER",6,"false",41.755825625,"POINT (-87.662690395 41.755825625)","STREET",-87.662690395,"INTERFERENCE WITH PUBLIC OFFICER"
"false","071XX S MORGAN ST","VIOLATE ORDER OF PROTECTION",7,"false",41.764303087,"POINT (-87.649245116 41.764303087)","STREET",-87.649245116,"OTHER OFFENSE"
"false","014XX N WASHTENAW AVE","$500 AND UNDER",14,"false",41.907517923,"POINT (-87.694480307 41.907517923)","STREET",-87.694480307,"THEFT"
"false","073XX S DR MARTIN LUTHER KING JR DR","SIMPLE",3,"false",41.761230199,"POINT (-87.615186786 41.761230199)","APARTMENT",-87.615186786,"ASSAULT"
"false","050XX W SUPERIOR ST","$500 AND UNDER",15,"false",41.894005814,"POINT (-87.751908413 41.894005814)","STREET",-87.751908413,"THEFT"
"true","015XX W 79TH ST","RESIST/OBSTRUCT/DISARM OFFICER",6,"false",41.750369272,"POINT (-87.662574951 41.750369272)","STREET",-87.662574951,"INTERFERENCE WITH PUBLIC OFFICER"
"false","004XX E 80TH ST","SIMPLE",6,"true",41.749318829,"POINT (-87.613256378 41.749318829)","RESIDENCE",-87.613256378,"ASSAULT"
"false","025XX W ROSEMONT AVE","AGGRAVATED: OTHER",24,"false",41.995851357,"POINT (-87.693980209 41.995851357)","APARTMENT",-87.693980209,"CRIM SEXUAL ASSAULT"
"false","005XX N MONTICELLO AVE","FROM BUILDING",11,"false",41.891002109,"POINT (-87.717404738 41.891002109)","RESIDENCE",-87.717404738,"THEFT"
"false","098XX S UNIVERSITY AVE","AUTOMOBILE",5,"false",41.71604312,"POINT (-87.59580143 41.71604312)","STREET",-87.59580143,"MOTOR VEHICLE THEFT"
"false","015XX E 74TH PL","FORCIBLE ENTRY",3,"false",41.759663626,"POINT (-87.587682194 41.759663626)","RESIDENCE-GARAGE",-87.587682194,"BURGLARY"
"false","0000X E 95TH ST","$500 AND UNDER",6,"false",41.721721501,"POINT (-87.623311963 41.721721501)","STREET",-87.623311963,"THEFT"
"true","081XX S COTTAGE GROVE AVE","GUN OFFENDER: DUTY TO REGISTER",6,"false",41.746759188,"POINT (-87.605109535 41.746759188)","STREET",-87.605109535,"OTHER OFFENSE"
"true","011XX S CLARK ST","RETAIL THEFT",1,"false",41.86821682,"POINT (-87.6304532 41.86821682)","DEPARTMENT STORE",-87.6304532,"THEFT"
"true","030XX W WARREN BLVD","POSS: HEROIN(WHITE)",12,"false",41.881935685,"POINT (-87.701844578 41.881935685)","STREET",-87.701844578,"NARCOTICS"
"false","028XX N HALSTED ST","TO VEHICLE",19,"false",41.933949296,"POINT (-87.64905601 41.933949296)","STREET",-87.64905601,"CRIMINAL DAMAGE"
"true","065XX W DIVERSEY AVE","RETAIL THEFT",25,"false",41.930946496,"POINT (-87.788962647 41.930946496)","GROCERY FOOD STORE",-87.788962647,"THEFT"
"false","089XX S MACKINAW AVE","HARASSMENT BY ELECTRONIC MEANS",4,"false",41.732983769,"POINT (-87.54296778 41.732983769)","RESIDENCE",-87.54296778,"OTHER OFFENSE"
"false","054XX W MONROE ST","DOMESTIC BATTERY SIMPLE",15,"true",41.879307455,"POINT (-87.760612241 41.879307455)","RESIDENCE",-87.760612241,"BATTERY"
"true","048XX S WINCHESTER AVE","POSS: COCAINE",9,"false",41.806209835,"POINT (-87.67341821 41.806209835)","ALLEY",-87.67341821,"NARCOTICS"
"false","063XX S DR MARTIN LUTHER KING JR DR","TELEPHONE THREAT",3,"false",41.779276522,"POINT (-87.615601416 41.779276522)","OTHER",-87.615601416,"OTHER OFFENSE"
"false","133XX S LANGLEY AVE","AUTOMOBILE",5,"false",41.653392929,"POINT (-87.604866817 41.653392929)","STREET",-87.604866817,"MOTOR VEHICLE THEFT"
"false","019XX N LAMON AVE","STRONGARM - NO WEAPON",25,"false",41.915436542,"POINT (-87.749395568 41.915436542)","STREET",-87.749395568,"ROBBERY"
"false","066XX S COTTAGE GROVE AVE","STRONGARM - NO WEAPON",3,"false",41.774319025,"POINT (-87.605795029 41.774319025)","SIDEWALK",-87.605795029,"ROBBERY"
"false","004XX W WISCONSIN ST","STRONGARM - NO WEAPON",18,"false",41.916503236,"POINT (-87.639281723 41.916503236)","SIDEWALK",-87.639281723,"ROBBERY"
"false","047XX S CHAMPLAIN AVE","DOMESTIC BATTERY SIMPLE",2,"true",41.808504832,"POINT (-87.610184077 41.808504832)","RESIDENCE",-87.610184077,"BATTERY"
"true","015XX N CLYBOURN AVE","RETAIL THEFT",18,"false",41.908849952,"POINT (-87.646645976 41.908849952)","GROCERY FOOD STORE",-87.646645976,"THEFT"
"true","009XX W 116TH ST","UNLAWFUL SALE OTHER FIREARM",5,"false",41.682993567,"POINT (-87.646340025 41.682993567)","STREET",-87.646340025,"WEAPONS VIOLATION"
"true","066XX S LAFLIN ST","UNLAWFUL POSS OTHER FIREARM",7,"false",41.773591445,"POINT (-87.661618184 41.773591445)","RESIDENCE",-87.661618184,"WEAPONS VIOLATION"
"false","038XX W ROOSEVELT RD","SIMPLE",11,"false",41.866233446,"POINT (-87.720656676 41.866233446)","PARKING LOT/GARAGE(NON.RESID.)",-87.720656676,"ASSAULT"
"true","037XX W CHICAGO AVE","MANU/DELIVER: HEROIN (WHITE)",11,"false",41.895429205,"POINT (-87.719573333 41.895429205)","STREET",-87.719573333,"NARCOTICS"
"true","001XX N STATE ST","TO LAND",1,"false",41.884650262,"POINT (-87.627915459 41.884650262)","DRUG STORE",-87.627915459,"CRIMINAL TRESPASS"
"false","057XX S DREXEL AVE","CHILD ABUSE",2,"true",41.790628946,"POINT (-87.603729472 41.790628946)","HOSPITAL BUILDING/GROUNDS",-87.603729472,"OFFENSE INVOLVING CHILDREN"
"false","034XX S DR MARTIN LUTHER KING JR DR","OVER $500",2,"false",41.832071291,"POINT (-87.616978684 41.832071291)","PARKING LOT/GARAGE(NON.RESID.)",-87.616978684,"THEFT"
"true","076XX S SOUTH SHORE DR","POSS: CRACK",4,"false",41.758420277,"POINT (-87.554966924 41.758420277)","STREET",-87.554966924,"NARCOTICS"
"false","043XX N MILWAUKEE AVE","SIMPLE",16,"false",41.959339501,"POINT (-87.75335909 41.959339501)","OTHER",-87.75335909,"ASSAULT"
"false","040XX W CHICAGO AVE","AGG PRO.EMP: OTHER DANG WEAPON",11,"false",41.895363905,"POINT (-87.726390989 41.895363905)","CTA BUS",-87.726390989,"BATTERY"
"false","075XX S ASHLAND AVE","SIMPLE",6,"false",41.756689862,"POINT (-87.663593994 41.756689862)","DEPARTMENT STORE",-87.663593994,"ASSAULT"
"false","061XX S KENWOOD AVE","OVER $500",3,"false",41.783316167,"POINT (-87.593120705 41.783316167)","STREET",-87.593120705,"THEFT"
"false","072XX S FAIRFIELD AVE","SIMPLE",8,"false",41.761740766,"POINT (-87.691727896 41.761740766)","SIDEWALK",-87.691727896,"ASSAULT"
"false","053XX N WASHTENAW AVE","AUTOMOBILE",20,"false",41.978168387,"POINT (-87.696562351 41.978168387)","STREET",-87.696562351,"MOTOR VEHICLE THEFT"
"false","023XX W HARRISON ST","HARASSMENT BY ELECTRONIC MEANS",12,"false",41.873920047,"POINT (-87.684181646 41.873920047)","OTHER",-87.684181646,"OTHER OFFENSE"
"false","035XX W ADAMS ST","TELEPHONE THREAT",11,"false",41.87828717,"POINT (-87.714185338 41.87828717)","RESIDENCE",-87.714185338,"OTHER OFFENSE"
"false","100XX W BRYN MAWR AVE","TO VEHICLE",16,"false",0,"","AIRPORT PARKING LOT",0,"CRIMINAL DAMAGE"
"false","018XX W WEBSTER AVE","TO VEHICLE",14,"false",41.921463921,"POINT (-87.673580498 41.921463921)","PARKING LOT/GARAGE(NON.RESID.)",-87.673580498,"CRIMINAL DAMAGE"
"false","012XX E 85TH ST","FORCIBLE ENTRY",4,"false",41.740123107,"POINT (-87.594309474 41.740123107)","RESIDENCE",-87.594309474,"BURGLARY"
"true","063XX S VERNON AVE","RESIST/OBSTRUCT/DISARM OFFICER",3,"false",41.77971357,"POINT (-87.614397645 41.77971357)","SIDEWALK",-87.614397645,"INTERFERENCE WITH PUBLIC OFFICER"
"false","052XX W POTOMAC AVE","DOMESTIC BATTERY SIMPLE",25,"true",41.904042257,"POINT (-87.757503893 41.904042257)","APARTMENT",-87.757503893,"BATTERY"
"false","031XX W CHICAGO AVE","$500 AND UNDER",12,"false",41.895558372,"POINT (-87.705897593 41.895558372)","STREET",-87.705897593,"THEFT"
"true","048XX W MONROE ST","UNLAWFUL POSS OF HANDGUN",15,"false",41.879489692,"POINT (-87.746161049 41.879489692)","STREET",-87.746161049,"WEAPONS VIOLATION"
"false","041XX W MADISON ST","CHILD ABUSE",11,"true",41.880685678,"POINT (-87.729133452 41.880685678)","MEDICAL/DENTAL OFFICE",-87.729133452,"OFFENSE INVOLVING CHILDREN"
"false","020XX N KEYSTONE AVE","DOMESTIC BATTERY SIMPLE",25,"true",41.917794511,"POINT (-87.727802512 41.917794511)","RESIDENTIAL YARD (FRONT/BACK)",-87.727802512,"BATTERY"
"true","007XX W 91ST ST","POSS: CANNABIS 30GMS OR LESS",22,"false",41.728776934,"POINT (-87.642639604 41.728776934)","STREET",-87.642639604,"NARCOTICS"
